date,sge,xau,lon,ano
2016-08-01,1350.83,1353.03,1348.85,
2016-08-02,1353,1363.54,1358.15,
2016-08-03,1366.38,1358.19,1364.4,
2016-08-04,1353.31,1361.1,1351.15,
2016-08-05,1366.07,1335.45,1362.6,
2016-08-08,1339.32,1335.23,1330,
2016-08-09,1333.72,1340.6,1332.9,
2016-08-10,1353.94,1346.62,1351.85,
2016-08-11,1344.92,1338.72,1344.55,
2016-08-12,1342.12,1336.07,1336.7,
2016-08-15,1343.98,1339.29,1339.2,
2016-08-16,1351.45,1345.92,1349.1,
2016-08-17,1347.4,1348.55,1342.75,
2016-08-18,1356.73,1352.17,1347.1,
2016-08-19,1350.51,1341.62,1346.85,
2016-08-22,1337.14,1338.97,1334.3,
2016-08-23,1340.25,1337.47,1338.5,
2016-08-24,1339.01,1324.07,1337.3,
2016-08-25,1328.74,1321.87,1324.5,
2016-08-26,1326.88,1321.24,1324.9,
2016-08-29,1322.83,1323.32,1324.9,
2016-08-30,1326.25,1311.07,1318.85,
2016-08-31,1315.99,1308.84,1314.45,
2016-09-01,1310.39,1313.7,1305.7,
2016-09-02,1316.61,1324.83,1311.5,
2016-09-05,1327.81,1326.85,1328.3,
2016-09-06,1329.36,1349.79,1330.05,
2016-09-07,1353,1345.11,1348.75,
2016-09-08,1348.96,1338.34,1348,
2016-09-09,1341.18,1328.04,1335.65,
2016-09-12,1331.23,1327.52,1327.5,
2016-09-13,1331.23,1319,1328.5,
2016-09-14,1325.01,1322.85,1323.2,
2016-09-15,1325.01,1314.69,1320.1,
2016-09-16,1325.01,1310.28,1314.25,
2016-09-19,1323.14,1313.13,1315.05,
2016-09-20,1320.03,1314.75,1315.4,
2016-09-21,1323.76,1334.87,1319.6,
2016-09-22,1337.76,1336.97,1332.45,
2016-09-23,1337.14,1337.41,1335.9,
2016-09-26,1337.45,1337.91,1336.3,
2016-09-27,1336.83,1327.26,1335.85,
2016-09-28,1328.12,1321.35,1324.8,
2016-09-29,1326.88,1320.21,1320.85,
2016-09-30,1327.5,1315.93,1327.9,
2016-10-03,1327.5,1311.3,1318.65,
2016-10-04,1327.5,1268.05,1309.15,
2016-10-05,1327.5,1266.32,1274,
2016-10-06,1327.5,1253.88,1265.5,
2016-10-07,1327.5,1256.22,1255,
2016-10-10,1268.4,1259.2,1262.1,
2016-10-11,1263.11,1252.27,1256.4,
2016-10-12,1259.69,1254.84,1255.7,
2016-10-13,1264.98,1257.71,1258,
2016-10-14,1262.18,1250.91,1256.15,
2016-10-17,1260.31,1255.32,1252.7,
2016-10-18,1264.67,1261.98,1261.65,
2016-10-19,1265.6,1268.84,1269.75,
2016-10-20,1274.31,1265.24,1269.2,
2016-10-21,1269.33,1265.85,1263.95,
2016-10-24,1270.27,1263.95,1267,
2016-10-25,1272.13,1273.35,1269.3,
2016-10-26,1278.98,1266.64,1273.9,
2016-10-27,1273.38,1267.99,1269.3,
2016-10-28,1273.38,1275.06,1265.9,
2016-10-31,1282.09,1276.71,1274.2,
2016-11-01,1283.95,1287.62,1284.4,
2016-11-02,1296.08,1296.52,1295.85,
2016-11-03,1306.66,1302.16,1293,
2016-11-04,1300.75,1304.21,1301.7,
2016-11-07,1293.91,1281.21,1286.8,
2016-11-08,1290.17,1275.19,1284,India abolishes rupee >=500
2016-11-09,1326.88,1277.63,1304.55, 
2016-11-10,1293.91,1258.56,1280.9, 
2016-11-11,1267.47,1226.78,1255.65, 
2016-11-14,1227.97,1220.83,1222.6,
2016-11-15,1236.99,1228.27,1228.9,
2016-11-16,1241.65,1224.77,1225.7,
2016-11-17,1237.3,1215.95,1232,
2016-11-18,1219.26,1207.53,1206.1,
2016-11-21,1224.54,1213.82,1214.95,
2016-11-22,1235.43,1211.87,1217.55,
2016-11-23,1231.7,1187.89,1213.25,
2016-11-24,1212.41,1183.65,1187.25,
2016-11-25,1200.91,1183.36,1187.5,
2016-11-28,1218.64,1193.5,1189.1,
2016-11-29,1216.15,1187.83,1187.3,
2016-11-30,1210.24,1172.89,1187.4,
2016-12-01,1199.35,1171.21,1168.75,
2016-12-02,1197.17,1177.09,1171.65,
2016-12-05,1198.11,1169.9,1164.9,
2016-12-06,1195.62,1169.47,1171.15,
2016-12-07,1194.69,1173.32,1171.25,
2016-12-08,1206.5,1170.37,1174.75,
2016-12-09,1197.48,1159.47,1168.9,
2016-12-12,1187.22,1161.73,1154.4,
2016-12-13,1193.44,1158.09,1157.35,
2016-12-14,1193.13,1142.55,1160.95,
2016-12-15,1182.56,1128,1132.45,
2016-12-16,1172.91,1134.26,1134.85,
2016-12-19,1176.02,1137.56,1137.6,
2016-12-20,1172.29,1131.86,1132.75,
2016-12-21,1166.07,1131.19,1134.4,
2016-12-22,1160.47,1128.01,1130.55,
2016-12-23,1162.03,1133.57,1131,
2016-12-26,1164.52,1132.72,1131,
2016-12-27,1167.63,1138.49,1131,
2016-12-28,1171.05,1141.03,1139.75,
2016-12-29,1175.09,1157.67,1146.8,
2016-12-30,1185.35,1150.9,1146.8,
2017-01-03,1181,1158.46,1148.65,
2017-01-04,1183.49,1163.21,1165.9,
2017-01-05,1196.55,1179.87,1173.05,
2017-01-06,1187.22,1172.52,1178,
2017-01-09,1191.58,1180.9,1176.1,
2017-01-10,1204.64,1187.29,1183.2,
2017-01-11,1207.75,1191.19,1187.55,
2017-01-12,1210.86,1195.01,1206.65,
2017-01-13,1213.66,1196.97,1196.35,
2017-01-16,1217.7,1202.42,1202.75,
2017-01-17,1230.14,1216.65,1217.5,
2017-01-18,1230.77,1203.76,1212.5,
2017-01-19,1213.35,1204.32,1203.35,
2017-01-20,1216.15,1209.79,1199.1,
2017-01-23,1227.97,1217.71,1213.75,
2017-01-24,1222.99,1208.5,1213.3,
2017-01-25,1209.93,1200.19,1203.5,
2017-01-26,1207.13,1188.12,1191.55,CN New Year
2017-01-27,1207.13,1190.77,1184.2, 
2017-01-30,1207.13,1195.07,1189.85, 
2017-01-31,1207.13,1210.27,1198.8, 
2017-02-01,1207.13,1209.35,1210, 
2017-02-02,1207.13,1215.31,1224.05, 
2017-02-03,1219.26,1219.64,1213.05,
2017-02-06,1231.08,1235.03,1221.85,
2017-02-07,1240.41,1233.38,1231,
2017-02-08,1241.03,1241.2,1235.6,
2017-02-09,1250.98,1227.92,1241.75,
2017-02-10,1234.81,1233.07,1225.75,
2017-02-13,1238.23,1224.74,1229.4,
2017-02-14,1239.47,1227.59,1229.65,
2017-02-15,1236.99,1233.17,1225.15,
2017-02-16,1245.07,1238.64,1236.75,
2017-02-16,1245.07,1238.64,1236.75,
2017-02-17,1248.81,1234.61,1241.4,
2017-02-20,1243.83,1237.5,1235.35,
2017-02-21,1242.9,1235.15,1228.7,
2017-02-22,1247.56,1237.02,1237.5,
2017-02-23,1248.49,1249.11,1237.35,
2017-02-24,1265.29,1256.63,1255.35,
